Stream,Dist,Proportion_Downstream,W_2019,W_1957,Curve,Curvepos,Slump,Migdist,MR,Mignorm,MRnorm
SC,2040,0.438709677,33.99,25.94,-0.012720739,0.012720739,4,1.99,0.032096774,0.076715497,0.000944301
SC,2070,0.44516129,28.24,24.81,-0.0119841,0.0119841,8,2.23,0.035967742,0.089883112,0.001273645
SC,2100,0.451612903,32.24,22.15,-0.012643659,0.012643659,4,3.95,0.063709677,0.178329571,0.001976107
SC,2130,0.458064516,27.33,18.11,-0.016322455,0.016322455,7,0.98,0.015806452,0.054113749,0.000578355
SC,2160,0.464516129,27.5,19.8,-0.016163431,0.016163431,7,2.22,0.035806452,0.112121212,0.001302053
SC,2190,0.470967742,28.39,25.64,-0.008236337,0.008236337,2,3.61,0.058225806,0.140795632,0.002050927
SC,2220,0.477419355,27.95,27.28,0.000166006,0.000166006,10,6.78,0.109354839,0.248533724,0.003912517
SC,2250,0.483870968,38.27,28.26,0.011279157,0.011279157,7,8.03,0.129516129,0.284147205,0.003384273
SC,2280,0.490322581,34.96,22.74,0.024631208,0.024631208,1,0.79,0.012741935,0.034740545,0.000364472
SC,2310,0.496774194,30.81,22.12,0.015924422,0.015924422,4,4.86,0.078387097,0.219710669,0.00254421
SC,2340,0.503225806,28.01,25.85,0.006056555,0.006056555,7,6.71,0.108225806,0.259574468,0.003863827
SC,2370,0.509677419,25.56,23.08,0.003395713,0.003395713,11,4.68,0.075483871,0.202772964,0.002953203
SC,2400,0.516129032,28.02,24.01,0.005070232,0.005070232,9,6.5,0.10483871,0.270720533,0.003741567
SC,2430,0.522580645,28.06,23.22,0.014187102,0.014187102,11,4.86,0.078387097,0.209302326,0.002793553
SC,2460,0.529032258,34.33,33.16,0.031042125,0.031042125,4,2.15,0.034677419,0.064837153,0.00101012
SC,2490,0.535483871,30.44,37.77,0.019619032,0.019619032,4,2.75,0.044354839,0.072809108,0.001457123
SC,2520,0.541935484,27.64,31.56,0.005332798,0.005332798,18,4.31,0.069516129,0.136565272,0.002515055
SC,2550,0.548387097,30.54,29,-0.001353692,0.001353692,6,4.3,0.069354839,0.148275862,0.002270951
SC,2580,0.55483871,27.6,26.95,-0.008659319,0.008659319,5,0.47,0.007580645,0.017439703,0.000274661
SC,2610,0.561290323,24.66,24.75,-0.021826448,0.021826448,7,2.38,0.038387097,0.096161616,0.001556654
SC,2640,0.567741935,35.05,29.25,-0.026717335,0.026717335,6,1.41,0.022741935,0.048205128,0.000648843
SC,2670,0.574193548,32.89,33.06,-0.014850415,0.014850415,6,3.92,0.063225806,0.118572293,0.001922341
SC,2700,0.580645161,32.42,34.63,-0.006661791,0.006661791,2,2.99,0.048225806,0.086341323,0.001487533
SC,2730,0.587096774,34.33,30.57,-0.00151397,0.00151397,1,5.43,0.087580645,0.177625123,0.00255114
SC,2760,0.593548387,33.87,28.66,0.003309603,0.003309603,2,0.47,0.007580645,0.016399163,0.000223816
SC,2790,0.6,32.66,28.09,0.008164181,0.008164181,8,4.64,0.07483871,0.165183339,0.002291449
SC,2820,0.606451613,35.83,29.37,0.011785851,0.011785851,7,5.1,0.082258065,0.173646578,0.002295787
SC,2850,0.612903226,34.48,29.78,0.012282402,0.012282402,15,6.06,0.097741935,0.203492277,0.002834743
SC,2880,0.619354839,44.91,37.8,0.010737336,0.010737336,10,2.01,0.032419355,0.053174603,0.000721874
SC,2910,0.625806452,44.01,44.23,0.008328312,0.008328312,11,5.63,0.090806452,0.12728917,0.002063314
SC,2940,0.632258065,36.89,38.11,0.006035657,0.006035657,10,1.95,0.031451613,0.051167673,0.000852578
SC,2970,0.638709677,44.64,32.79,0.004598412,0.004598412,9,6.63,0.106935484,0.202195791,0.002395508
SC,3000,0.64516129,47.27,38.14,0.004846763,0.004846763,9,7.2,0.116129032,0.188778186,0.002456717
SC,3030,0.651612903,41.36,42.24,0.00640762,0.00640762,10,6.63,0.106935484,0.156960227,0.002585481
SC,3060,0.658064516,45.43,41.14,0.008056709,0.008056709,12,4.34,0.07,0.105493437,0.001540832
